balanced_acc,precision,recall,f1,roc_auc,pr_auc,model,split,slice_col,slice_val,n
0.8795454545454545,0.8695652173913043,0.9090909090909091,0.888888888888889,0.9392272727272727,0.9393750132847419,RF,test,train_horizon,16.0,210
0.8984121030257564,0.8865979381443299,0.9247311827956989,0.9052631578947367,0.9491122780695174,0.9463469368132922,RF,test,is_censored,0,179
0.8081562156529682,0.8259587020648967,0.8832807570977917,0.8536585365853658,0.9093452474413692,0.9381127687414124,RF,test,is_censored,1,538
0.8323349487566537,0.8394495412844036,0.8926829268292683,0.8652482269503546,0.9202391356161119,0.9405609540826261,RF,test,too_sparse,0,717
0.9505122260864982,0.9748625294579732,0.939439818319455,0.9568234387047031,0.9927357771268992,0.9955862084317744,HGB,train,overall,all,2154
1.0,1.0,1.0,1.0,,,HGB,train,source_type,lab,217
0.9445604328687998,0.9696969696969697,0.927536231884058,0.9481481481481481,0.9913079362179654,0.993715301372982,HGB,train,source_type,synthetic,1937
0.9141583054626533,0.9714285714285714,0.8717948717948718,0.9189189189189189,0.9745138114703332,0.9858399421146904,HGB,train,train_horizon,8.0,372
0.9192295695570805,0.9502262443438914,0.9170305676855895,0.9333333333333333,0.9842014971927635,0.9911538955578697,HGB,train,train_horizon,10.0,369
0.9563587830919994,0.9669811320754716,0.9669811320754716,0.9669811320754716,0.9966725171859002,0.9980503791411818,HGB,train,train_horizon,12.0,341
0.9798852199479815,0.9956896551724138,0.9665271966527197,0.9808917197452229,0.9991801424855818,0.9995052450153948,HGB,train,train_horizon,14.5,387
1.0,1.0,1.0,1.0,,,HGB,train,train_horizon,14.75,34
0.9658467296243868,0.9806629834254144,0.9568733153638814,0.9686221009549796,0.9960053520525897,0.997049631181725,HGB,train,train_horizon,16.0,649
0.9732255498875542,0.9835526315789473,0.9676375404530745,0.9755301794453507,0.997600241347156,0.9981421108728412,HGB,train,is_censored,0,545
0.9428019544362127,0.9721362229102167,0.9308300395256917,0.9510348308934882,0.9904802338437907,0.9946774274953845,HGB,train,is_censored,1,1609
0.9505122260864982,0.9748625294579732,0.939439818319455,0.9568234387047031,0.9927357771268992,0.9955862084317744,HGB,train,too_sparse,0,2154
0.8535519543392958,0.8854415274463007,0.8791469194312796,0.8822829964328182,0.9191382561280131,0.9329887756390063,HGB,val,overall,all,701
1.0,1.0,1.0,1.0,,,HGB,val,source_type,lab,41
